Borough	Year	NTA Code	NTA Name	Population
Queens	2000	QN45	Douglas Manor-Douglaston-Little Neck	"24,356"
Queens	2000	QN46	Bayside-Bayside Hills	"44,371"
Queens	2000	QN47	Ft. Totten-Bay Terrace-Clearview	"22,731"
Queens	2000	QN48	Auburndale	"20,201"
Queens	2000	QN49	Whitestone	"31,356"
Queens	2000	QN50	Elmhurst-Maspeth	"24,338"
Queens	2000	QN51	Murray Hill	"53,009"
Queens	2000	QN52	East Flushing	"26,516"
Queens	2000	QN53	Woodhaven	"54,149"
Queens	2000	QN54	Richmond Hill	"62,985"
Queens	2000	QN55	South Ozone Park	"78,906"
Queens	2000	QN56	Ozone Park	"21,052"
Queens	2000	QN57	Lindenwood-Howard Beach	"28,121"
Queens	2000	QN60	Kew Gardens	"23,888"
Queens	2000	QN61	Jamaica	"51,849"
Queens	2000	QN62	Queensboro Hill	"19,309"
Queens	2000	QN63	Woodside	"43,846"
Queens	2000	QN66	Laurelton	"26,375"
Queens	2000	QN68	Queensbridge-Ravenswood-Long Island City	"21,104"
Queens	2000	QN70	Astoria	"89,122"
Queens	2000	QN71	Old Astoria	"28,847"
Queens	2000	QN72	Steinway	"53,604"
Queens	2000	QN76	Baisley Park	"35,729"
Queens	2000	QN98	Airport	0
Queens	2000	QN99	park-cemetery-etc-Queens	"1,785"
Staten Island	2000	SI01	Annadale-Huguenot-Prince's Bay-Eltingville	"26,376"
Staten Island	2000	SI05	New Springville-Bloomfield-Travis	"39,309"
Staten Island	2000	SI07	Westerleigh	"23,790"
Staten Island	2000	SI08	Grymes Hill-Clifton-Fox Hills	"19,834"
Staten Island	2000	SI11	Charleston-Richmond Valley-Tottenville	"18,332"
Staten Island	2000	SI12	Mariner's Harbor-Arlington-Port Ivory-Graniteville	"27,957"
Staten Island	2000	SI14	Grasmere-Arrochar-Ft. Wadsworth	"15,238"
Staten Island	2000	SI22	West New Brighton-New Brighton-St. George	"32,154"
Staten Island	2000	SI24	Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill	"30,762"
Staten Island	2000	SI25	Oakwood-Oakwood Beach	"22,266"
Staten Island	2000	SI28	Port Richmond	"18,042"
Staten Island	2000	SI32	Rossville-Woodrow	"18,894"
Staten Island	2000	SI35	New Brighton-Silver Lake	"16,784"
Staten Island	2000	SI36	Old Town-Dongan Hills-South Beach	"23,017"
Staten Island	2000	SI37	Stapleton-Rosebank	"24,048"
Staten Island	2000	SI45	New Dorp-Midland Beach	"20,242"
Staten Island	2000	SI48	Arden Heights	"24,996"
Staten Island	2000	SI54	Great Kills	"41,680"
Staten Island	2000	SI99	park-cemetery-etc-Staten Island	7
Bronx	2010	BX01	Claremont-Bathgate	"31,078"
Bronx	2010	BX03	Eastchester-Edenwald-Baychester	"34,517"
Bronx	2010	BX05	Bedford Park-Fordham North	"54,415"
Bronx	2010	BX06	Belmont	"27,378"
Bronx	2010	BX07	Bronxdale	"35,538"
Bronx	2010	BX08	West Farms-Bronx River	"35,011"
Bronx	2010	BX09	Soundview-Castle Hill-Clason Point-Harding Park	"53,686"
Bronx	2010	BX10	Pelham Bay-Country Club-City Island	"26,583"
Bronx	2010	BX13	Co-Op City	"43,752"
Bronx	2010	BX14	East Concourse-Concourse Village	"62,284"
Bronx	2010	BX17	East Tremont	"43,423"
Bronx	2010	BX22	North Riverdale-Fieldston-Riverdale	"27,860"
Bronx	2010	BX26	Highbridge	"37,727"
Bronx	2010	BX27	Hunts Point	"27,204"
Bronx	2010	BX28	Van Cortlandt Village	"50,100"
Bronx	2010	BX29	Spuyten Duyvil-Kingsbridge	"30,161"
Bronx	2010	BX30	Kingsbridge Heights	"32,496"
Bronx	2010	BX31	Allerton-Pelham Gardens	"28,903"
Bronx	2010	BX33	Longwood	"26,196"
Bronx	2010	BX34	Melrose South-Mott Haven North	"39,214"
Bronx	2010	BX35	Morrisania-Melrose	"37,865"
Bronx	2010	BX36	University Heights-Morris Heights	"54,188"
Bronx	2010	BX37	Van Nest-Morris Park-Westchester Square	"29,250"
Bronx	2010	BX39	Mott Haven-Port Morris	"52,413"
Bronx	2010	BX40	Fordham South	"28,262"
Bronx	2010	BX41	Mount Hope	"51,807"
Bronx	2010	BX43	Norwood	"40,494"
Bronx	2010	BX44	Williamsbridge-Olinville	"61,321"
Bronx	2010	BX46	Parkchester	"29,821"
Bronx	2010	BX49	Pelham Parkway	"30,073"
